date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2023/06/09,2023,6,9,chokepoint1,Suez Canal,17,18,4,6,28,45,73,1085177,1203306,35571,25781,1986029,2349835,4335865,21
2023/06/10,2023,6,10,chokepoint1,Suez Canal,18,14,5,3,40,40,80,970122,977499,16366,6560,1962109,1970549,3932658,22
2023/06/11,2023,6,11,chokepoint1,Suez Canal,29,11,3,1,30,44,74,1116343,513581,14687,4958,1477594,1649571,3127165,23
2023/06/12,2023,6,12,chokepoint1,Suez Canal,19,28,10,0,19,57,76,857369,1825167,51027,0,992050,2733564,3725614,24
2023/06/13,2023,6,13,chokepoint1,Suez Canal,15,16,7,2,30,40,70,1066327,994090,50283,8976,1012479,2119678,3132157,25
2023/06/14,2023,6,14,chokepoint1,Suez Canal,15,24,3,3,32,45,77,785088,1017391,21602,14904,1414338,1838986,3253325,26
2023/06/15,2023,6,15,chokepoint1,Suez Canal,16,16,5,5,25,42,67,768992,1126017,25510,24080,1481619,1944600,3426220,27
2023/06/16,2023,6,16,chokepoint1,Suez Canal,23,18,5,4,26,50,76,1567705,1121515,43545,10247,1331980,2743014,4074994,28
2023/06/17,2023,6,17,chokepoint1,Suez Canal,23,14,1,3,25,41,66,1592917,675587,9086,7515,1363510,2285107,3648617,29
2023/06/18,2023,6,18,chokepoint1,Suez Canal,13,25,8,9,28,55,83,761360,1409767,39665,34154,1494713,2244947,3739660,30
2023/06/19,2023,6,19,chokepoint1,Suez Canal,23,16,5,1,24,45,69,837182,947176,22453,3910,1309889,1810723,3120612,31
2023/06/20,2023,6,20,chokepoint1,Suez Canal,20,13,1,2,20,36,56,1335272,892505,3259,11033,1085026,2242071,3327097,32
2023/06/21,2023,6,21,chokepoint1,Suez Canal,20,12,5,7,29,44,73,1020395,696150,17430,24680,1656772,1758657,3415430,33
2023/06/22,2023,6,22,chokepoint1,Suez Canal,23,30,5,7,34,65,99,1214953,1400427,14189,31472,1297141,2661042,3958184,34
2023/06/23,2023,6,23,chokepoint1,Suez Canal,22,17,2,2,29,43,72,1267299,751683,3136,14913,1533479,2037032,3570512,35
2023/06/24,2023,6,24,chokepoint1,Suez Canal,26,28,11,5,26,70,96,1444483,1361439,50360,23139,762765,2879423,3642189,36
2023/06/25,2023,6,25,chokepoint1,Suez Canal,21,33,8,5,22,67,89,1154600,1733377,51170,25917,1614279,2965065,4579345,37
2023/06/26,2023,6,26,chokepoint1,Suez Canal,20,16,6,2,16,44,60,720198,782785,31594,13415,722780,1547994,2270775,38
2023/06/27,2023,6,27,chokepoint1,Suez Canal,19,18,8,1,32,46,78,1235812,968885,28878,3453,1410165,2237029,3647195,39
2023/06/28,2023,6,28,chokepoint1,Suez Canal,10,28,11,6,30,55,85,712404,1626586,61152,24658,1226612,2424802,3651415,40
2023/06/29,2023,6,29,chokepoint1,Suez Canal,18,12,0,0,21,30,51,796980,689547,0,0,1340881,1486527,2827408,41
2023/06/30,2023,6,30,chokepoint1,Suez Canal,18,27,8,2,29,55,84,1018222,999639,28570,3743,1346372,2050175,3396548,42
2023/07/01,2023,7,1,chokepoint1,Suez Canal,26,15,4,1,26,46,72,1731254,759567,13918,3202,1171572,2507942,3679515,43
2023/07/02,2023,7,2,chokepoint1,Suez Canal,24,13,9,7,27,53,80,1429898,774805,36996,26016,1281167,2267716,3548883,44
2023/07/03,2023,7,3,chokepoint1,Suez Canal,16,18,5,0,25,39,64,960602,1291002,10177,0,1323196,2261781,3584978,45
2023/07/04,2023,7,4,chokepoint1,Suez Canal,20,14,4,0,23,38,61,675289,885699,25379,0,973656,1586368,2560024,46
2023/07/05,2023,7,5,chokepoint1,Suez Canal,23,15,9,8,28,55,83,1200634,584947,58437,51537,906163,1895556,2801719,47
2023/07/06,2023,7,6,chokepoint1,Suez Canal,12,20,5,2,24,39,63,649744,1161557,22811,10817,1492991,1844931,3337923,48
2023/07/07,2023,7,7,chokepoint1,Suez Canal,23,9,4,2,29,38,67,1088481,443183,5437,5319,1150811,1542421,2693232,49
2023/07/08,2023,7,8,chokepoint1,Suez Canal,27,16,6,3,27,52,79,1422695,820074,38907,3302,1145234,2284979,3430213,50
2023/07/09,2023,7,9,chokepoint1,Suez Canal,27,17,5,1,20,50,70,1423753,890691,16126,4851,476735,2335423,2812159,51
2023/07/10,2023,7,10,chokepoint1,Suez Canal,24,30,6,6,22,66,88,1316204,1806929,32221,35914,818447,3191270,4009718,52
2023/07/11,2023,7,11,chokepoint1,Suez Canal,19,8,10,0,19,37,56,987083,611187,35450,0,1236217,1633721,2869938,53
2023/07/12,2023,7,12,chokepoint1,Suez Canal,17,9,3,2,22,31,53,759919,387694,5478,4434,1636996,1157528,2794525,54
2023/07/13,2023,7,13,chokepoint1,Suez Canal,14,21,7,5,27,47,74,903036,1089932,50563,12686,991327,2056217,3047545,55
2023/07/14,2023,7,14,chokepoint1,Suez Canal,20,17,8,3,36,48,84,874730,746773,42858,12602,1646250,1676965,3323216,56
2023/07/15,2023,7,15,chokepoint1,Suez Canal,27,15,8,4,26,54,80,1881383,629441,44512,26584,1629355,2581921,4211276,57
2023/07/16,2023,7,16,chokepoint1,Suez Canal,22,14,3,4,31,43,74,1011759,944545,3639,15132,751350,1975077,2726428,58
2023/07/17,2023,7,17,chokepoint1,Suez Canal,21,4,1,0,29,26,55,1191418,286150,11314,0,1793220,1488884,3282105,59
2023/07/18,2023,7,18,chokepoint1,Suez Canal,22,20,4,2,35,48,83,1209828,1259022,5449,3193,1622489,2477494,4099984,60
2023/07/19,2023,7,19,chokepoint1,Suez Canal,24,16,7,0,29,47,76,1164967,735608,38153,0,1390545,1938730,3329275,61
2023/07/20,2023,7,20,chokepoint1,Suez Canal,17,26,2,2,31,47,78,964817,1215904,8767,8581,1543643,2198071,3741714,62
2023/07/21,2023,7,21,chokepoint1,Suez Canal,23,19,4,1,25,47,72,860781,772383,8234,3437,1055518,1644836,2700354,63
2023/07/22,2023,7,22,chokepoint1,Suez Canal,20,15,6,3,30,44,74,1282923,659349,34745,12854,1091440,1989872,3081313,64
2023/07/23,2023,7,23,chokepoint1,Suez Canal,20,16,9,3,24,48,72,1125427,750203,26700,14570,850246,1916902,2767149,65
2023/07/24,2023,7,24,chokepoint1,Suez Canal,20,13,5,3,25,41,66,783921,776297,27605,14817,1269804,1602641,2872446,66
2023/07/25,2023,7,25,chokepoint1,Suez Canal,19,15,5,5,24,44,68,1074324,1036765,15289,34322,987934,2160701,3148635,67
2023/07/26,2023,7,26,chokepoint1,Suez Canal,21,19,6,5,23,51,74,916630,996711,30493,16518,878926,1960354,2839280,68
2023/07/27,2023,7,27,chokepoint1,Suez Canal,20,16,5,4,23,45,68,1323097,876124,24608,16180,1417557,2240010,3657567,69
2023/07/28,2023,7,28,chokepoint1,Suez Canal,23,13,8,4,21,48,69,1113675,848356,33087,16768,1087002,2011888,3098890,70
2023/07/29,2023,7,29,chokepoint1,Suez Canal,18,13,4,0,31,35,66,1123352,670646,27089,0,1300981,1821089,3122070,71
2023/07/30,2023,7,30,chokepoint1,Suez Canal,20,17,11,2,16,50,66,1154985,969662,75834,3202,829350,2203684,3033035,72
2023/07/31,2023,7,31,chokepoint1,Suez Canal,16,17,4,1,30,38,68,716375,900332,13326,0,1210545,1630034,2840580,73
2023/08/01,2023,8,1,chokepoint1,Suez Canal,21,15,5,1,19,42,61,1313399,898748,14796,4401,878094,2231346,3109440,74
2023/08/02,2023,8,2,chokepoint1,Suez Canal,22,26,5,7,23,60,83,1072231,1206034,25797,29029,936237,2333092,3269330,75
2023/08/03,2023,8,3,chokepoint1,Suez Canal,15,11,9,1,22,36,58,927512,932572,53642,0,1508941,1913726,3422668,76
2023/08/04,2023,8,4,chokepoint1,Suez Canal,26,19,3,7,22,55,77,1266602,974338,12973,52430,920481,2306345,3226826,77
2023/08/05,2023,8,5,chokepoint1,Suez Canal,18,19,3,2,18,42,60,1118488,1186355,8621,9487,721339,2322953,3044293,78
2023/08/06,2023,8,6,chokepoint1,Suez Canal,22,11,1,3,15,37,52,1095563,772572,0,8855,800399,1876991,2677390,79
2023/08/07,2023,8,7,chokepoint1,Suez Canal,18,25,9,4,25,56,81,765642,1504350,35446,16092,1007234,2321531,3328766,80
2023/08/08,2023,8,8,chokepoint1,Suez Canal,18,19,7,3,25,47,72,966658,718024,16707,7442,1421624,1708833,3130457,81
2023/08/09,2023,8,9,chokepoint1,Suez Canal,26,6,4,5,32,41,73,1484423,358008,4514,28696,1293022,1875643,3168665,82
2023/08/10,2023,8,10,chokepoint1,Suez Canal,21,11,5,4,26,41,67,1155497,587697,17720,22527,1206301,1783443,2989744,83
2023/08/11,2023,8,11,chokepoint1,Suez Canal,21,16,3,5,27,45,72,1047208,1022114,12746,13732,1391681,2095801,3487483,84
2023/08/12,2023,8,12,chokepoint1,Suez Canal,25,12,2,4,17,43,60,1311052,1020220,15236,23162,913669,2369672,3283341,85
2023/08/13,2023,8,13,chokepoint1,Suez Canal,29,14,3,6,30,52,82,1349201,676499,4089,12858,1355607,2042649,3398256,86
2023/08/14,2023,8,14,chokepoint1,Suez Canal,22,21,5,0,25,48,73,1322475,1004442,40487,0,1098704,2367405,3466109,87
2023/08/15,2023,8,15,chokepoint1,Suez Canal,17,14,6,2,21,39,60,967395,879124,27077,10647,1190272,1884245,3074517,88
2023/08/16,2023,8,16,chokepoint1,Suez Canal,24,22,6,3,25,55,80,893107,1077844,37871,10772,1325395,2019595,3344991,89
2023/08/17,2023,8,17,chokepoint1,Suez Canal,22,16,5,4,23,47,70,1428500,944081,24293,18858,1119437,2415733,3535171,90
2023/08/18,2023,8,18,chokepoint1,Suez Canal,26,25,7,2,24,60,84,1501558,1300592,45192,20126,945005,2867470,3812475,91
2023/08/19,2023,8,19,chokepoint1,Suez Canal,21,20,11,3,31,55,86,945354,813967,55171,11070,1886931,1825563,3712495,92
2023/08/20,2023,8,20,chokepoint1,Suez Canal,20,23,6,1,29,50,79,1248799,1062335,27999,4594,1038561,2343730,3382291,93
2023/08/21,2023,8,21,chokepoint1,Suez Canal,20,14,6,6,20,46,66,1013448,1003089,27494,11869,870985,2055901,2926886,94
2023/08/22,2023,8,22,chokepoint1,Suez Canal,19,17,7,2,23,45,68,1000052,932512,20196,3754,1018166,1956517,2974683,95
2023/08/23,2023,8,23,chokepoint1,Suez Canal,21,15,9,3,18,48,66,1010277,791504,53037,14407,950088,1869227,2819315,96
2023/08/24,2023,8,24,chokepoint1,Suez Canal,21,26,8,5,24,60,84,1199957,1570019,28968,16529,1323377,2815475,4138853,97
2023/08/25,2023,8,25,chokepoint1,Suez Canal,18,23,5,2,18,48,66,832751,1127778,28887,17584,981537,2007001,2988539,98
2023/08/26,2023,8,26,chokepoint1,Suez Canal,19,21,5,2,21,47,68,1097499,967756,16392,7093,1034333,2088741,3123075,99
2023/08/27,2023,8,27,chokepoint1,Suez Canal,20,20,1,5,24,46,70,1226763,654257,650,13123,845345,1894794,2740139,100
2023/08/28,2023,8,28,chokepoint1,Suez Canal,22,21,5,6,29,54,83,1021426,911525,19216,24357,1319554,1976526,3296081,101
2023/08/29,2023,8,29,chokepoint1,Suez Canal,14,21,5,2,24,42,66,840527,1169449,22459,3456,1332777,2035892,3368670,102
2023/08/30,2023,8,30,chokepoint1,Suez Canal,20,20,7,3,21,50,71,896315,1084506,58646,14291,977379,2053760,3031140,103
2023/08/31,2023,8,31,chokepoint1,Suez Canal,19,20,6,3,24,48,72,1100215,1021361,31572,20034,1186122,2173184,3359306,104
2023/09/01,2023,9,1,chokepoint1,Suez Canal,22,10,8,3,26,43,69,1100072,517879,37845,7315,1011702,1663112,2674815,105
2023/09/02,2023,9,2,chokepoint1,Suez Canal,24,17,7,2,25,50,75,1277773,1043166,49552,3987,1387011,2374479,3761490,106
2023/09/03,2023,9,3,chokepoint1,Suez Canal,22,17,4,2,24,45,69,1056775,1094546,18948,9671,1102233,2179942,3282175,107
2023/09/04,2023,9,4,chokepoint1,Suez Canal,21,18,4,5,19,48,67,1116530,816246,9516,22922,1120776,1965214,3085991,108
2023/09/05,2023,9,5,chokepoint1,Suez Canal,17,9,2,3,23,31,54,733988,534583,11650,15663,956960,1295886,2252846,109
2023/09/06,2023,9,6,chokepoint1,Suez Canal,20,23,11,6,26,60,86,935333,1272351,46909,41602,1319642,2296196,3615839,110
2023/09/07,2023,9,7,chokepoint1,Suez Canal,26,24,6,4,24,60,84,1256774,1417817,15878,12473,1193827,2702944,3896772,111
2023/09/08,2023,9,8,chokepoint1,Suez Canal,27,24,4,2,24,57,81,1430325,1371983,13271,10084,1365088,2825666,4190754,112
2023/09/09,2023,9,9,chokepoint1,Suez Canal,21,15,6,4,27,46,73,1459382,920004,21273,20157,1300613,2420818,3721432,113
2023/09/10,2023,9,10,chokepoint1,Suez Canal,16,19,7,3,33,45,78,964538,845593,24603,16476,1579444,1851211,3430655,114
2023/09/11,2023,9,11,chokepoint1,Suez Canal,24,31,9,3,27,67,94,1192581,1601546,47741,0,1297036,2841869,4138906,115
2023/09/12,2023,9,12,chokepoint1,Suez Canal,17,14,5,2,32,38,70,899082,1013662,9576,8731,1746439,1931053,3677492,116
2023/09/13,2023,9,13,chokepoint1,Suez Canal,14,27,5,6,26,52,78,951643,1358232,45742,32651,1242192,2388269,3630462,117
2023/09/14,2023,9,14,chokepoint1,Suez Canal,21,19,7,1,24,48,72,1561546,1134287,32817,0,1406879,2728651,4135530,118
2023/09/15,2023,9,15,chokepoint1,Suez Canal,19,19,5,4,28,47,75,936564,757952,6537,15777,1581932,1716830,3298763,119
2023/09/16,2023,9,16,chokepoint1,Suez Canal,23,10,7,3,17,43,60,1168932,635170,13864,10816,1057105,1828784,2885890,120
2023/09/17,2023,9,17,chokepoint1,Suez Canal,24,21,7,2,22,54,76,1333903,911030,26886,4558,629177,2276378,2905555,121
2023/09/18,2023,9,18,chokepoint1,Suez Canal,21,12,2,5,32,40,72,1144407,631726,3057,11718,1476749,1790909,3267659,122
2023/09/19,2023,9,19,chokepoint1,Suez Canal,17,18,4,3,27,42,69,772842,1247696,16987,25305,1702885,2062833,3765718,123
2023/09/20,2023,9,20,chokepoint1,Suez Canal,22,24,6,2,25,54,79,1028122,1152426,33725,4580,744841,2218854,2963695,124
2023/09/21,2023,9,21,chokepoint1,Suez Canal,20,20,8,1,27,49,76,1467113,1269984,29708,4780,1166297,2771586,3937884,125
2023/09/22,2023,9,22,chokepoint1,Suez Canal,20,15,2,2,19,39,58,1214891,936962,15668,8113,741941,2175636,2917577,126
2023/09/23,2023,9,23,chokepoint1,Suez Canal,26,18,4,2,28,50,78,1232826,810464,8090,8779,1518348,2060162,3578510,127
2023/09/24,2023,9,24,chokepoint1,Suez Canal,15,23,1,5,24,44,68,1003287,1028895,1074,19926,671211,2053184,2724395,128
2023/09/25,2023,9,25,chokepoint1,Suez Canal,16,15,5,4,27,40,67,1137598,904690,9189,27209,1639014,2078688,3717703,129
2023/09/26,2023,9,26,chokepoint1,Suez Canal,18,22,6,10,22,56,78,1114932,952638,47349,42662,848957,2157582,3006539,130
2023/09/27,2023,9,27,chokepoint1,Suez Canal,24,15,8,1,23,48,71,1184759,728151,75810,4259,1347535,1992980,3340515,131
2023/09/28,2023,9,28,chokepoint1,Suez Canal,24,25,1,4,28,54,82,1419968,1237014,27654,0,1386939,2684638,4071577,132
2023/09/29,2023,9,29,chokepoint1,Suez Canal,18,35,4,5,22,62,84,761582,1503540,13121,15205,801787,2293449,3095236,133
2023/09/30,2023,9,30,chokepoint1,Suez Canal,22,27,3,0,22,52,74,1270529,1710342,26027,0,1273253,3006899,4280152,134
2023/10/01,2023,10,1,chokepoint1,Suez Canal,22,28,1,7,24,58,82,897458,1452405,3035,33419,989832,2386318,3376150,135
2023/10/02,2023,10,2,chokepoint1,Suez Canal,23,16,5,5,21,49,70,1262821,828060,18839,19041,1160463,2128762,3289225,136
2023/10/03,2023,10,3,chokepoint1,Suez Canal,19,23,2,2,18,46,64,1171929,1531783,19118,9854,890725,2732685,3623410,137
2023/10/04,2023,10,4,chokepoint1,Suez Canal,13,22,7,1,20,43,63,838646,638185,24959,3902,1067058,1505693,2572751,138
2023/10/05,2023,10,5,chokepoint1,Suez Canal,30,17,6,2,27,55,82,1594786,803691,24611,12147,1689595,2435237,4124833,139
2023/10/06,2023,10,6,chokepoint1,Suez Canal,22,13,8,1,31,44,75,1395413,633316,39975,7492,1130117,2076197,3206315,140
2023/10/07,2023,10,7,chokepoint1,Suez Canal,20,26,7,1,22,54,76,1184724,1597874,21146,6195,1056972,2809940,3866913,141
2023/10/08,2023,10,8,chokepoint1,Suez Canal,21,30,8,4,28,63,91,795219,1479134,19813,19961,1526112,2314129,3840242,142
2023/10/09,2023,10,9,chokepoint1,Suez Canal,20,20,8,6,29,54,83,1223905,850769,35441,28561,968920,2138678,3107599,143
2023/10/10,2023,10,10,chokepoint1,Suez Canal,20,20,9,2,26,51,77,1163172,1240084,75700,13818,1566312,2492776,4059088,144
2023/10/11,2023,10,11,chokepoint1,Suez Canal,23,16,4,2,27,45,72,1118822,515394,9024,7547,1083894,1650788,2734683,145
2023/10/12,2023,10,12,chokepoint1,Suez Canal,17,21,9,5,27,52,79,1159611,1235492,50472,19160,1451621,2464737,3916359,146
2023/10/13,2023,10,13,chokepoint1,Suez Canal,27,20,5,5,23,57,80,1351624,570412,19618,20309,986061,1961965,2948026,147
2023/10/14,2023,10,14,chokepoint1,Suez Canal,20,22,10,1,28,53,81,1182220,1111775,46680,8397,1772613,2349073,4121686,148
2023/10/15,2023,10,15,chokepoint1,Suez Canal,25,13,6,4,32,48,80,1408582,751437,17600,15034,1111986,2192654,3304640,149
2023/10/16,2023,10,16,chokepoint1,Suez Canal,21,26,9,3,26,59,85,1159319,1353525,43553,13265,1328169,2569663,3897833,150
2023/10/17,2023,10,17,chokepoint1,Suez Canal,15,21,4,3,26,43,69,919694,1034511,20035,10898,1314045,1985138,3299184,151
2023/10/18,2023,10,18,chokepoint1,Suez Canal,16,15,7,3,18,41,59,1075675,920924,35899,7930,769987,2040429,2810417,152
2023/10/19,2023,10,19,chokepoint1,Suez Canal,21,25,1,1,31,48,79,1126859,1148676,5416,6745,1303157,2287697,3590854,153
2023/10/20,2023,10,20,chokepoint1,Suez Canal,18,25,11,3,29,57,86,999811,1141570,55729,4686,1895402,2201798,4097200,154
2023/10/21,2023,10,21,chokepoint1,Suez Canal,21,5,3,1,27,30,57,1342262,278690,7201,3540,1778406,1631694,3410101,155
2023/10/22,2023,10,22,chokepoint1,Suez Canal,28,23,9,6,19,66,85,1456311,1248450,60137,20210,788630,2785109,3573740,156
2023/10/23,2023,10,23,chokepoint1,Suez Canal,16,24,2,6,30,48,78,940748,1042207,11614,32706,1255373,2027277,3282650,157
2023/10/24,2023,10,24,chokepoint1,Suez Canal,16,27,4,5,29,52,81,691710,1577845,17843,30914,1496360,2318314,3814674,158
2023/10/25,2023,10,25,chokepoint1,Suez Canal,22,24,7,1,25,54,79,1130018,1299901,24145,11001,1159755,2465067,3624823,159
2023/10/26,2023,10,26,chokepoint1,Suez Canal,14,28,9,1,24,52,76,610354,1119363,60464,0,1511400,1790183,3301584,160
2023/10/27,2023,10,27,chokepoint1,Suez Canal,20,25,6,0,23,51,74,1183344,1606535,27753,0,778360,2817632,3595993,161
2023/10/28,2023,10,28,chokepoint1,Suez Canal,21,35,5,3,25,64,89,1153726,1464383,19425,11304,1094747,2648840,3743587,162
2023/10/29,2023,10,29,chokepoint1,Suez Canal,18,21,1,11,12,51,63,1245637,888963,1942,43580,430039,2180123,2610162,163
2023/10/30,2023,10,30,chokepoint1,Suez Canal,25,18,4,4,22,51,73,1254920,619857,13873,10218,1159925,1898868,3058793,164
2023/10/31,2023,10,31,chokepoint1,Suez Canal,19,19,3,2,24,43,67,1184946,1061826,2946,13653,913463,2263372,3176835,165
2023/11/01,2023,11,1,chokepoint1,Suez Canal,13,20,6,3,32,42,74,847429,916111,55881,11955,1852777,1831379,3684156,166
2023/11/02,2023,11,2,chokepoint1,Suez Canal,22,25,4,2,27,53,80,1290184,1363261,21396,11768,633287,2686610,3319897,167
2023/11/03,2023,11,3,chokepoint1,Suez Canal,18,23,8,1,24,50,74,1215770,711527,24297,0,944160,1951596,2895756,168
2023/11/04,2023,11,4,chokepoint1,Suez Canal,23,20,5,2,32,50,82,1014379,844353,25315,4971,1505718,1889019,3394738,169
2023/11/05,2023,11,5,chokepoint1,Suez Canal,18,33,6,4,19,61,80,933503,1843230,26795,21544,1291864,2825073,4116938,170
2023/11/06,2023,11,6,chokepoint1,Suez Canal,17,27,8,4,21,56,77,808525,1440074,72231,29937,665631,2350768,3016399,171
2023/11/07,2023,11,7,chokepoint1,Suez Canal,21,19,4,6,15,50,65,1273903,1035628,39356,16824,509776,2365713,2875490,172
2023/11/08,2023,11,8,chokepoint1,Suez Canal,17,35,5,3,27,60,87,1113415,1688793,12201,9271,1422576,2823681,4246258,173
2023/11/09,2023,11,9,chokepoint1,Suez Canal,15,24,4,3,29,46,75,1133613,1397717,11135,10618,1714546,2553085,4267631,174
2023/11/10,2023,11,10,chokepoint1,Suez Canal,14,24,9,2,27,49,76,802805,1348264,39782,3213,1406251,2194066,3600317,175
2023/11/11,2023,11,11,chokepoint1,Suez Canal,19,27,4,1,20,51,71,1111324,1532774,29844,2427,1266275,2676370,3942646,176
2023/11/12,2023,11,12,chokepoint1,Suez Canal,20,15,9,4,24,48,72,780937,595466,26934,8567,1450189,1411905,2862095,177
2023/11/13,2023,11,13,chokepoint1,Suez Canal,22,23,5,5,27,55,82,1029108,1101166,18439,28068,1026127,2176782,3202910,178
2023/11/14,2023,11,14,chokepoint1,Suez Canal,28,15,5,4,27,52,79,1510427,666436,2768,14141,1216062,2193773,3409835,179
2023/11/15,2023,11,15,chokepoint1,Suez Canal,26,22,6,9,23,63,86,1184640,827105,20368,28061,751758,2060175,2811934,180
2023/11/16,2023,11,16,chokepoint1,Suez Canal,24,18,6,6,19,54,73,1264644,855094,54002,22727,1230650,2196469,3427120,181
2023/11/17,2023,11,17,chokepoint1,Suez Canal,19,35,1,3,37,58,95,1095664,1900060,17168,11344,2370286,3024238,5394524,182
2023/11/18,2023,11,18,chokepoint1,Suez Canal,17,25,6,1,20,49,69,1104121,1407907,48670,2841,1552785,2563541,4116326,183
2023/11/19,2023,11,19,chokepoint1,Suez Canal,17,24,1,3,21,45,66,1021159,1164091,16662,19463,1279693,2221376,3501070,184
2023/11/20,2023,11,20,chokepoint1,Suez Canal,16,24,2,4,24,46,70,601385,1070197,4844,7643,781498,1684070,2465569,185
2023/11/21,2023,11,21,chokepoint1,Suez Canal,22,18,6,2,21,48,69,1333533,1355694,12043,21331,1119969,2722603,3842573,186
2023/11/22,2023,11,22,chokepoint1,Suez Canal,17,26,11,4,27,58,85,1034811,1459191,49028,0,1321564,2543030,3864594,187
2023/11/23,2023,11,23,chokepoint1,Suez Canal,21,15,3,0,24,39,63,1364208,844440,20547,0,1380626,2229196,3609823,188
2023/11/24,2023,11,24,chokepoint1,Suez Canal,23,21,3,6,33,53,86,1368969,1069311,4351,28754,1142634,2471387,3614022,189
2023/11/25,2023,11,25,chokepoint1,Suez Canal,17,21,11,2,26,51,77,894880,1093437,80966,9076,1201898,2078360,3280259,190
2023/11/26,2023,11,26,chokepoint1,Suez Canal,21,21,8,2,28,52,80,1189766,1111351,45055,8529,883513,2354703,3238216,191
2023/11/27,2023,11,27,chokepoint1,Suez Canal,19,23,4,1,23,47,70,911006,1364014,23437,1910,862558,2300368,3162926,192
2023/11/28,2023,11,28,chokepoint1,Suez Canal,15,30,6,4,22,55,77,755249,1647365,11651,9913,1223850,2424180,3648031,193
2023/11/29,2023,11,29,chokepoint1,Suez Canal,21,17,4,5,24,47,71,1163269,583061,7239,10365,621897,1763935,2385832,194
2023/11/30,2023,11,30,chokepoint1,Suez Canal,21,22,8,4,20,55,75,1761352,1222056,81426,21366,1200214,3086200,4286414,195
2023/12/01,2023,12,1,chokepoint1,Suez Canal,18,21,5,3,30,47,77,959734,1042239,17952,0,1608359,2019925,3628285,196
2023/12/02,2023,12,2,chokepoint1,Suez Canal,17,23,4,1,25,45,70,1206501,1042627,3106,0,1383480,2252236,3635716,197
2023/12/03,2023,12,3,chokepoint1,Suez Canal,10,37,5,0,29,52,81,604657,1694403,6147,0,1139483,2305208,3444692,198
2023/12/04,2023,12,4,chokepoint1,Suez Canal,16,18,9,3,24,46,70,827248,890267,43990,11755,1131660,1773262,2904922,199
2023/12/05,2023,12,5,chokepoint1,Suez Canal,18,26,6,3,23,53,76,984915,1792657,45150,10960,778319,2833683,3612002,200
