from_portid,to_portid,sample_date,sea_distance_nm,transit_days_observed,month,origin_vessel_count,dest_vessel_count,origin_congestion_index,dest_congestion_index,chokepoint_stress_max,wave_height_m,wind_speed_kn,storm_flag,precipitation_mm,has_disruption,disruption_severity,infrastructure_quality_avg,cross_region_flag,delay_hours
port100,port109,2022-06-15,994.3,46.8,6,1455,1025,1.677,1.001,0.0,0.0,0.0,0,0.0,0,0,0.653,0,72.0
port100,port109,2022-07-15,994.3,46.8,7,1455,1025,1.535,0.897,0.0,0.0,0.0,0,0.0,0,0,0.653,0,72.0
port100,port109,2022-08-15,994.3,46.8,8,1455,1025,1.446,1.036,0.0,0.0,0.0,0,0.0,0,0,0.653,0,60.11
port100,port109,2022-09-15,994.3,46.8,9,1455,1025,1.509,1.128,0.0,0.0,0.0,0,0.0,0,0,0.653,0,68.61
port100,port109,2022-10-15,994.3,46.8,10,1455,1025,1.473,1.047,0.0,0.0,0.0,0,0.0,0,0,0.653,0,63.75
port100,port109,2022-11-15,994.3,46.8,11,1455,1025,1.26,1.254,0.0,0.0,0.0,0,0.0,0,0,0.653,0,35.04
port100,port109,2022-12-15,994.3,46.8,12,1455,1025,1.269,1.024,0.0,0.0,0.0,0,0.0,0,0,0.653,0,36.26
port100,port109,2023-01-15,994.3,46.8,1,1455,1025,0.994,1.231,0.0,0.0,0.0,0,0.0,0,0,0.653,0,31.14
port100,port109,2023-02-15,994.3,46.8,2,1455,1025,1.136,1.116,0.0,0.0,0.0,0,0.0,0,0,0.653,0,18.33
port100,port109,2023-03-15,994.3,46.8,3,1455,1025,1.127,1.139,0.0,0.0,0.0,0,0.0,0,0,0.653,0,18.73
port100,port109,2023-04-15,994.3,46.8,4,1455,1025,1.269,0.99,0.0,0.0,0.0,0,0.0,0,0,0.653,0,36.26
port100,port109,2023-05-15,994.3,46.8,5,1455,1025,1.278,1.047,0.0,0.0,0.0,0,0.0,0,0,0.653,0,37.47
port100,port109,2023-06-15,994.3,46.8,6,1455,1025,1.544,1.036,0.0,0.0,0.0,0,0.0,0,0,0.653,0,72.0
port100,port109,2023-07-15,994.3,46.8,7,1455,1025,1.535,1.128,0.0,0.0,0.0,0,0.0,0,0,0.653,0,72.0
port100,port109,2023-08-15,994.3,46.8,8,1455,1025,1.517,0.782,0.0,0.0,0.0,0,0.0,0,0,0.653,0,69.68
port100,port109,2023-09-15,994.3,46.8,9,1455,1025,1.322,0.61,0.0,0.0,0.0,0,0.0,0,0,0.653,0,43.4
port100,port109,2023-10-15,994.3,46.8,10,1455,1025,1.446,0.564,0.0,0.0,0.0,0,0.0,0,0,0.653,0,60.11
port100,port109,2023-11-15,994.3,46.8,11,1455,1025,1.402,0.782,0.0,0.0,0.0,0,0.0,0,0,0.653,0,54.18
port100,port109,2023-12-15,994.3,46.8,12,1455,1025,1.198,0.84,0.0,0.0,0.0,0,0.0,0,0,0.653,0,26.69
port100,port1112,2020-01-15,601.0,38.8,1,1455,3153,0.95,1.013,0.0,0.0,0.0,0,0.0,0,0,0.65,0,1.45
port100,port1112,2020-02-15,601.0,38.8,2,1455,3153,0.879,0.861,0.0,0.0,0.0,0,0.0,0,0,0.65,0,0.0
port100,port1112,2020-03-15,601.0,38.8,3,1455,3153,0.896,1.083,0.0,0.0,0.0,0,0.0,0,0,0.65,0,9.27
port100,port1112,2020-04-15,601.0,38.8,4,1455,3153,0.648,1.383,0.0,0.0,0.0,0,0.0,0,0,0.65,0,42.8
port100,port1112,2020-05-15,601.0,38.8,5,1455,3153,0.754,1.952,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-06-15,601.0,38.8,6,1455,3153,0.719,1.681,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-07-15,601.0,38.8,7,1455,3153,0.754,1.658,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-08-15,601.0,38.8,8,1455,3153,0.621,2.0,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-09-15,601.0,38.8,9,1455,3153,0.719,2.0,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-10-15,601.0,38.8,10,1455,3153,0.683,2.0,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-11-15,601.0,38.8,11,1455,3153,0.781,2.0,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2020-12-15,601.0,38.8,12,1455,3153,0.674,1.264,0.0,0.0,0.0,0,0.0,0,0,0.65,0,29.5
port100,port1112,2021-01-15,601.0,38.8,1,1455,3153,1.012,1.293,0.0,0.0,0.0,0,0.0,0,0,0.65,0,32.74
port100,port1112,2021-02-15,601.0,38.8,2,1455,3153,0.905,0.826,0.0,0.0,0.0,0,0.0,0,0,0.65,0,0.0
port100,port1112,2021-03-15,601.0,38.8,3,1455,3153,0.799,0.829,0.0,0.0,0.0,0,0.0,0,0,0.65,0,0.0
port100,port1112,2021-04-15,601.0,38.8,4,1455,3153,0.843,1.086,0.0,0.0,0.0,0,0.0,0,0,0.65,0,9.61
port100,port1112,2021-05-15,601.0,38.8,5,1455,3153,0.843,1.29,0.0,0.0,0.0,0,0.0,0,0,0.65,0,32.41
port100,port1112,2021-06-15,601.0,38.8,6,1455,3153,0.674,1.573,0.0,0.0,0.0,0,0.0,0,0,0.65,0,64.03
port100,port1112,2021-07-15,601.0,38.8,7,1455,3153,0.63,1.52,0.0,0.0,0.0,0,0.0,0,0,0.65,0,58.11
port100,port1112,2021-08-15,601.0,38.8,8,1455,3153,0.781,1.798,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2021-09-15,601.0,38.8,9,1455,3153,0.958,1.774,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2021-10-15,601.0,38.8,10,1455,3153,0.896,1.386,0.0,0.0,0.0,0,0.0,0,0,0.65,0,43.13
port100,port1112,2021-11-15,601.0,38.8,11,1455,3153,0.816,1.22,0.0,0.0,0.0,0,0.0,0,0,0.65,0,24.58
port100,port1112,2021-12-15,601.0,38.8,12,1455,3153,1.136,0.324,0.0,0.0,0.0,0,0.0,0,0,0.65,0,15.2
port100,port1112,2022-01-15,601.0,38.8,1,1455,3153,1.162,0.236,0.0,0.0,0.0,0,0.0,0,0,0.65,0,18.1
port100,port1112,2022-02-15,601.0,38.8,2,1455,3153,1.331,0.204,0.0,0.0,0.0,0,0.0,0,0,0.65,0,36.99
port100,port1112,2022-03-15,601.0,38.8,3,1455,3153,1.402,0.163,0.0,0.0,0.0,0,0.0,0,0,0.65,0,44.92
port100,port1112,2022-04-15,601.0,38.8,4,1455,3153,1.296,0.175,0.0,0.0,0.0,0,0.0,0,0,0.65,0,33.08
port100,port1112,2022-05-15,601.0,38.8,5,1455,3153,1.509,0.382,0.0,0.0,0.0,0,0.0,0,0,0.65,0,56.88
port100,port1112,2022-06-15,601.0,38.8,6,1455,3153,1.677,0.368,0.0,0.0,0.0,0,0.0,0,0,0.65,0,72.0
port100,port1112,2022-07-15,601.0,38.8,7,1455,3153,1.535,0.455,0.0,0.0,0.0,0,0.0,0,0,0.65,0,59.78
port100,port1112,2022-08-15,601.0,38.8,8,1455,3153,1.446,0.502,0.0,0.0,0.0,0,0.0,0,0,0.65,0,49.84
port100,port1112,2022-09-15,601.0,38.8,9,1455,3153,1.509,0.487,0.0,0.0,0.0,0,0.0,0,0,0.65,0,56.88
port100,port1112,2022-10-15,601.0,38.8,10,1455,3153,1.473,0.511,0.0,0.0,0.0,0,0.0,0,0,0.65,0,52.85
port100,port1112,2022-11-15,601.0,38.8,11,1455,3153,1.26,0.371,0.0,0.0,0.0,0,0.0,0,0,0.65,0,29.05
port100,port1112,2022-12-15,601.0,38.8,12,1455,3153,1.269,0.271,0.0,0.0,0.0,0,0.0,0,0,0.65,0,30.06
port100,port1112,2023-01-15,601.0,38.8,1,1455,3153,0.994,0.198,0.0,0.0,0.0,0,0.0,0,0,0.65,0,0.0
port100,port1112,2023-02-15,601.0,38.8,2,1455,3153,1.136,0.289,0.0,0.0,0.0,0,0.0,0,0,0.65,0,15.2
port100,port1112,2023-03-15,601.0,38.8,3,1455,3153,1.127,0.271,0.0,0.0,0.0,0,0.0,0,0,0.65,0,14.19
port100,port1112,2023-04-15,601.0,38.8,4,1455,3153,1.269,0.309,0.0,0.0,0.0,0,0.0,0,0,0.65,0,30.06
port100,port1112,2023-05-15,601.0,38.8,5,1455,3153,1.278,0.312,0.0,0.0,0.0,0,0.0,0,0,0.65,0,31.06
port100,port1112,2023-06-15,601.0,38.8,6,1455,3153,1.544,0.239,0.0,0.0,0.0,0,0.0,0,0,0.65,0,60.79
port100,port1112,2023-07-15,601.0,38.8,7,1455,3153,1.535,0.306,0.0,0.0,0.0,0,0.0,0,0,0.65,0,59.78
port100,port1112,2023-08-15,601.0,38.8,8,1455,3153,1.517,0.365,0.0,0.0,0.0,0,0.0,0,0,0.65,0,57.77
port100,port1112,2023-09-15,601.0,38.8,9,1455,3153,1.322,0.245,0.0,0.0,0.0,0,0.0,0,0,0.65,0,35.98
port100,port1112,2023-10-15,601.0,38.8,10,1455,3153,1.446,0.283,0.0,0.0,0.0,0,0.0,0,0,0.65,0,49.84
port100,port1112,2023-11-15,601.0,38.8,11,1455,3153,1.402,0.315,0.0,0.0,0.0,0,0.0,0,0,0.65,0,44.92
port100,port1112,2023-12-15,601.0,38.8,12,1455,3153,1.198,0.248,0.0,0.0,0.0,0,0.0,0,0,0.65,0,22.13
port100,port1139,2020-01-15,607.7,49.9,1,1455,2492,0.95,1.097,0.0,0.0,0.0,0,0.0,0,0,0.655,0,13.94
port100,port1139,2020-02-15,607.7,49.9,2,1455,2492,0.879,0.938,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2020-03-15,607.7,49.9,3,1455,2492,0.896,0.886,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2020-04-15,607.7,49.9,4,1455,2492,0.648,0.858,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2020-05-15,607.7,49.9,5,1455,2492,0.754,0.97,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2020-06-15,607.7,49.9,6,1455,2492,0.719,0.933,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2020-07-15,607.7,49.9,7,1455,2492,0.754,1.045,0.0,0.0,0.0,0,0.0,0,0,0.655,0,6.47
port100,port1139,2020-08-15,607.7,49.9,8,1455,2492,0.621,1.158,0.0,0.0,0.0,0,0.0,0,0,0.655,0,22.71
port100,port1139,2020-09-15,607.7,49.9,9,1455,2492,0.719,1.116,0.0,0.0,0.0,0,0.0,0,0,0.655,0,16.67
port100,port1139,2020-10-15,607.7,49.9,10,1455,2492,0.683,1.036,0.0,0.0,0.0,0,0.0,0,0,0.655,0,5.17
port100,port1139,2020-11-15,607.7,49.9,11,1455,2492,0.781,1.13,0.0,0.0,0.0,0,0.0,0,0,0.655,0,18.68
port100,port1139,2020-12-15,607.7,49.9,12,1455,2492,0.674,1.027,0.0,0.0,0.0,0,0.0,0,0,0.655,0,3.88
port100,port1139,2021-01-15,607.7,49.9,1,1455,2492,1.012,1.303,0.0,0.0,0.0,0,0.0,0,0,0.655,0,43.54
port100,port1139,2021-02-15,607.7,49.9,2,1455,2492,0.905,0.928,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-03-15,607.7,49.9,3,1455,2492,0.799,1.116,0.0,0.0,0.0,0,0.0,0,0,0.655,0,16.67
port100,port1139,2021-04-15,607.7,49.9,4,1455,2492,0.843,0.797,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-05-15,607.7,49.9,5,1455,2492,0.843,0.731,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-06-15,607.7,49.9,6,1455,2492,0.674,0.825,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-07-15,607.7,49.9,7,1455,2492,0.63,0.881,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-08-15,607.7,49.9,8,1455,2492,0.781,0.919,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-09-15,607.7,49.9,9,1455,2492,0.958,1.12,0.0,0.0,0.0,0,0.0,0,0,0.655,0,17.25
port100,port1139,2021-10-15,607.7,49.9,10,1455,2492,0.896,0.924,0.0,0.0,0.0,0,0.0,0,0,0.655,0,0.0
port100,port1139,2021-11-15,607.7,49.9,11,1455,2492,0.816,1.158,0.0,0.0,0.0,0,0.0,0,0,0.655,0,22.71
port100,port1139,2021-12-15,607.7,49.9,12,1455,2492,1.136,1.205,0.0,0.0,0.0,0,0.0,0,0,0.655,0,29.46
port100,port1139,2022-01-15,607.7,49.9,1,1455,2492,1.162,0.947,0.0,0.0,0.0,0,0.0,0,0,0.655,0,23.28
port100,port1139,2022-02-15,607.7,49.9,2,1455,2492,1.331,0.811,0.0,0.0,0.0,0,0.0,0,0,0.655,0,47.57
port100,port1139,2022-03-15,607.7,49.9,3,1455,2492,1.402,0.905,0.0,0.0,0.0,0,0.0,0,0,0.655,0,57.77
port100,port1139,2022-04-15,607.7,49.9,4,1455,2492,1.296,0.83,0.0,0.0,0.0,0,0.0,0,0,0.655,0,42.54
port100,port1139,2022-05-15,607.7,49.9,5,1455,2492,1.509,1.224,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2022-06-15,607.7,49.9,6,1455,2492,1.677,1.036,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2022-07-15,607.7,49.9,7,1455,2492,1.535,1.064,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2022-08-15,607.7,49.9,8,1455,2492,1.446,1.167,0.0,0.0,0.0,0,0.0,0,0,0.655,0,64.1
port100,port1139,2022-09-15,607.7,49.9,9,1455,2492,1.509,1.149,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2022-10-15,607.7,49.9,10,1455,2492,1.473,0.989,0.0,0.0,0.0,0,0.0,0,0,0.655,0,67.98
port100,port1139,2022-11-15,607.7,49.9,11,1455,2492,1.26,1.247,0.0,0.0,0.0,0,0.0,0,0,0.655,0,37.37
port100,port1139,2022-12-15,607.7,49.9,12,1455,2492,1.269,1.097,0.0,0.0,0.0,0,0.0,0,0,0.655,0,38.66
port100,port1139,2023-01-15,607.7,49.9,1,1455,2492,0.994,1.242,0.0,0.0,0.0,0,0.0,0,0,0.655,0,34.78
port100,port1139,2023-02-15,607.7,49.9,2,1455,2492,1.136,0.919,0.0,0.0,0.0,0,0.0,0,0,0.655,0,19.54
port100,port1139,2023-03-15,607.7,49.9,3,1455,2492,1.127,1.088,0.0,0.0,0.0,0,0.0,0,0,0.655,0,18.25
port100,port1139,2023-04-15,607.7,49.9,4,1455,2492,1.269,1.116,0.0,0.0,0.0,0,0.0,0,0,0.655,0,38.66
port100,port1139,2023-05-15,607.7,49.9,5,1455,2492,1.278,1.102,0.0,0.0,0.0,0,0.0,0,0,0.655,0,39.95
port100,port1139,2023-06-15,607.7,49.9,6,1455,2492,1.544,1.013,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2023-07-15,607.7,49.9,7,1455,2492,1.535,1.045,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2023-08-15,607.7,49.9,8,1455,2492,1.517,1.003,0.0,0.0,0.0,0,0.0,0,0,0.655,0,72.0
port100,port1139,2023-09-15,607.7,49.9,9,1455,2492,1.322,0.797,0.0,0.0,0.0,0,0.0,0,0,0.655,0,46.28
port100,port1139,2023-10-15,607.7,49.9,10,1455,2492,1.446,0.881,0.0,0.0,0.0,0,0.0,0,0,0.655,0,64.1
port100,port1139,2023-11-15,607.7,49.9,11,1455,2492,1.402,1.111,0.0,0.0,0.0,0,0.0,0,0,0.655,0,57.77
port100,port1139,2023-12-15,607.7,49.9,12,1455,2492,1.198,1.116,0.0,0.0,0.0,0,0.0,0,0,0.655,0,28.45
port100,port1150,2020-01-15,1387.5,71.5,1,1455,4432,0.95,0.942,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2020-02-15,1387.5,71.5,2,1455,4432,0.879,0.924,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2020-03-15,1387.5,71.5,3,1455,4432,0.896,0.977,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2020-04-15,1387.5,71.5,4,1455,4432,0.648,0.948,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2020-05-15,1387.5,71.5,5,1455,4432,0.754,1.208,0.0,0.0,0.0,0,0.0,0,0,0.67,0,42.83
port100,port1150,2020-06-15,1387.5,71.5,6,1455,4432,0.719,1.415,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2020-07-15,1387.5,71.5,7,1455,4432,0.754,1.399,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2020-08-15,1387.5,71.5,8,1455,4432,0.621,1.269,0.0,0.0,0.0,0,0.0,0,0,0.67,0,55.39
port100,port1150,2020-09-15,1387.5,71.5,9,1455,4432,0.719,1.319,0.0,0.0,0.0,0,0.0,0,0,0.67,0,65.69
port100,port1150,2020-10-15,1387.5,71.5,10,1455,4432,0.683,1.274,0.0,0.0,0.0,0,0.0,0,0,0.67,0,56.42
port100,port1150,2020-11-15,1387.5,71.5,11,1455,4432,0.781,1.242,0.0,0.0,0.0,0,0.0,0,0,0.67,0,49.83
port100,port1150,2020-12-15,1387.5,71.5,12,1455,4432,0.674,0.982,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2021-01-15,1387.5,71.5,1,1455,4432,1.012,1.038,0.0,0.0,0.0,0,0.0,0,0,0.67,0,7.82
port100,port1150,2021-02-15,1387.5,71.5,2,1455,4432,0.905,0.865,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2021-03-15,1387.5,71.5,3,1455,4432,0.799,0.903,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2021-04-15,1387.5,71.5,4,1455,4432,0.843,0.934,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2021-05-15,1387.5,71.5,5,1455,4432,0.843,1.141,0.0,0.0,0.0,0,0.0,0,0,0.67,0,29.03
port100,port1150,2021-06-15,1387.5,71.5,6,1455,4432,0.674,1.378,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2021-07-15,1387.5,71.5,7,1455,4432,0.63,1.402,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2021-08-15,1387.5,71.5,8,1455,4432,0.781,1.362,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2021-09-15,1387.5,71.5,9,1455,4432,0.958,1.282,0.0,0.0,0.0,0,0.0,0,0,0.67,0,58.07
port100,port1150,2021-10-15,1387.5,71.5,10,1455,4432,0.896,1.208,0.0,0.0,0.0,0,0.0,0,0,0.67,0,42.83
port100,port1150,2021-11-15,1387.5,71.5,11,1455,4432,0.816,1.051,0.0,0.0,0.0,0,0.0,0,0,0.67,0,10.5
port100,port1150,2021-12-15,1387.5,71.5,12,1455,4432,1.136,0.988,0.0,0.0,0.0,0,0.0,0,0,0.67,0,28.01
port100,port1150,2022-01-15,1387.5,71.5,1,1455,4432,1.162,0.889,0.0,0.0,0.0,0,0.0,0,0,0.67,0,33.36
port100,port1150,2022-02-15,1387.5,71.5,2,1455,4432,1.331,0.849,0.0,0.0,0.0,0,0.0,0,0,0.67,0,68.16
port100,port1150,2022-03-15,1387.5,71.5,3,1455,4432,1.402,0.73,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-04-15,1387.5,71.5,4,1455,4432,1.296,0.581,0.0,0.0,0.0,0,0.0,0,0,0.67,0,60.95
port100,port1150,2022-05-15,1387.5,71.5,5,1455,4432,1.509,0.703,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-06-15,1387.5,71.5,6,1455,4432,1.677,0.749,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-07-15,1387.5,71.5,7,1455,4432,1.535,0.815,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-08-15,1387.5,71.5,8,1455,4432,1.446,0.783,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-09-15,1387.5,71.5,9,1455,4432,1.509,0.9,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-10-15,1387.5,71.5,10,1455,4432,1.473,0.812,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2022-11-15,1387.5,71.5,11,1455,4432,1.26,0.852,0.0,0.0,0.0,0,0.0,0,0,0.67,0,53.54
port100,port1150,2022-12-15,1387.5,71.5,12,1455,4432,1.269,0.701,0.0,0.0,0.0,0,0.0,0,0,0.67,0,55.39
port100,port1150,2023-01-15,1387.5,71.5,1,1455,4432,0.994,0.547,0.0,0.0,0.0,0,0.0,0,0,0.67,0,0.0
port100,port1150,2023-02-15,1387.5,71.5,2,1455,4432,1.136,0.603,0.0,0.0,0.0,0,0.0,0,0,0.67,0,28.01
port100,port1150,2023-03-15,1387.5,71.5,3,1455,4432,1.127,0.563,0.0,0.0,0.0,0,0.0,0,0,0.67,0,26.15
port100,port1150,2023-04-15,1387.5,71.5,4,1455,4432,1.269,0.629,0.0,0.0,0.0,0,0.0,0,0,0.67,0,55.39
port100,port1150,2023-05-15,1387.5,71.5,5,1455,4432,1.278,0.725,0.0,0.0,0.0,0,0.0,0,0,0.67,0,57.25
port100,port1150,2023-06-15,1387.5,71.5,6,1455,4432,1.544,0.804,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2023-07-15,1387.5,71.5,7,1455,4432,1.535,0.9,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2023-08-15,1387.5,71.5,8,1455,4432,1.517,0.993,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2023-09-15,1387.5,71.5,9,1455,4432,1.322,0.961,0.0,0.0,0.0,0,0.0,0,0,0.67,0,66.31
port100,port1150,2023-10-15,1387.5,71.5,10,1455,4432,1.446,0.9,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2023-11-15,1387.5,71.5,11,1455,4432,1.402,1.025,0.0,0.0,0.0,0,0.0,0,0,0.67,0,72.0
port100,port1150,2023-12-15,1387.5,71.5,12,1455,4432,1.198,0.767,0.0,0.0,0.0,0,0.0,0,0,0.67,0,40.77
port100,port1280,2020-01-15,1012.0,161.6,1,1455,1646,0.95,0.908,0.0,0.0,0.0,0,0.0,0,0,0.729,0,0.0
port100,port1280,2020-02-15,1012.0,161.6,2,1455,1646,0.879,0.901,0.0,0.0,0.0,0,0.0,0,0,0.729,0,0.0
port100,port1280,2020-03-15,1012.0,161.6,3,1455,1646,0.896,0.937,0.0,0.0,0.0,0,0.0,0,0,0.729,0,0.0
